set,memory,input,horizon_s,clip,err_median_px,err_iqr_px,lock_on_s,path_median_px,path_last_px,path_lock_on_s,period_ratio,auc,latency_s,fp_per_min,unseen_fraction,offset_x_px,offset_y_px,n_steps,n_clips,n_break_clips
development,harmonic,centroid,0.025,pooled (8 clips),21.37179737494067,11.676141174830914,14.697500000000002,9.969470847620773,10.218629557656675,5.005,1.0061208341150036,0.724092224690947,0.13949999999999996,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,harmonic,centroid,0.05,pooled (8 clips),22.100695412573618,12.04983519483073,14.69,9.965419668923124,10.218629557656675,5.005,1.0061208341150036,0.724092224690947,0.13949999999999996,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,harmonic,centroid,0.1,pooled (8 clips),23.401260755474716,12.38995344850854,14.8125,9.96160023744459,10.218629557656675,5.005,1.0061208341150036,0.724092224690947,0.13949999999999996,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,harmonic,centroid,0.2,pooled (8 clips),24.541242981716607,13.737325871343813,14.765,9.952122112540575,10.218629557656675,5.005,1.0061208341150036,0.724092224690947,0.13949999999999996,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,harmonic,snn,0.025,pooled (8 clips),20.580781135001455,14.388818867878658,24.84,13.050127288912606,14.736834994131485,10.78,0.9990537303059326,0.7183346177444212,0.27700000000000014,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,harmonic,snn,0.05,pooled (8 clips),21.50493125099758,14.651189237727483,24.815,13.050127288912606,14.736834994131485,10.78,0.9990537303059326,0.7183346177444212,0.27700000000000014,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,harmonic,snn,0.1,pooled (8 clips),22.52484419237358,14.954317340343215,24.77,13.050127288912606,14.736834994131485,10.78,0.9990537303059326,0.7183346177444212,0.27700000000000014,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,harmonic,snn,0.2,pooled (8 clips),22.123612735439075,15.189606763836135,24.67,13.050127288912606,14.736834994131485,10.78,0.9990537303059326,0.7183346177444212,0.27700000000000014,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,kalman,centroid,0.025,pooled (8 clips),10.671897127328197,9.264917266058628,18.89,14.06408825658188,14.78499657003417,20.385,1.0061208341150036,0.8584779668009974,0.4169999999999998,39.9335548172766,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,kalman,centroid,0.05,pooled (8 clips),11.925501833819506,10.843454907350235,24.57,14.06408825658188,14.78499657003417,20.385,1.0061208341150036,0.8584779668009974,0.4169999999999998,39.9335548172766,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,kalman,centroid,0.1,pooled (8 clips),13.660964942098097,13.572804656393817,24.7925,14.06408825658188,14.78499657003417,20.385,1.0061208341150036,0.8584779668009974,0.4169999999999998,39.9335548172766,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,kalman,centroid,0.2,pooled (8 clips),16.209426543682973,14.887347872046956,24.635,14.06408825658188,14.78499657003417,20.385,1.0061208341150036,0.8584779668009974,0.4169999999999998,39.9335548172766,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,kalman,snn,0.025,pooled (8 clips),18.67403447978731,16.51063608451841,24.895,17.62962509327356,19.14646591632117,23.427500000000002,0.9990537303059326,0.8037349657684125,0.08699999999999974,30.655221253490147,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,kalman,snn,0.05,pooled (8 clips),20.70273612625102,18.450763566206547,24.815,17.62962509327356,19.14646591632117,23.427500000000002,0.9990537303059326,0.8037349657684125,0.08699999999999974,30.655221253490147,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,kalman,snn,0.1,pooled (8 clips),25.0916067039633,20.085090729564804,18.93,17.62962509327356,19.14646591632117,23.427500000000002,0.9990537303059326,0.8037349657684125,0.08699999999999974,30.655221253490147,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,kalman,snn,0.2,pooled (8 clips),23.128597563832663,20.173180363900734,21.7125,17.62962509327356,19.14646591632117,23.427500000000002,0.9990537303059326,0.8037349657684125,0.08699999999999974,30.655221253490147,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
development,phasemap,centroid,0.025,pooled (8 clips),11.43815393564267,9.515844296851771,24.69,13.122020547360226,9.974963512743287,14.825,1.0006173453753526,0.9968162718752902,0.14950000000000063,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,phasemap,centroid,0.05,pooled (8 clips),12.988120373208947,10.384857654094798,24.44,13.127835194871393,9.974963512743287,14.825,1.0006173453753526,0.9968162718752902,0.14950000000000063,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,phasemap,centroid,0.1,pooled (8 clips),14.546077903775428,12.669942940660494,24.755,13.121714307463392,9.974963512743287,14.825,1.0006173453753526,0.9968162718752902,0.14950000000000063,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,phasemap,centroid,0.2,pooled (8 clips),18.983254081993095,15.953677120137439,24.695,13.127835194871393,9.974963512743287,14.825,1.0006173453753526,0.9968162718752902,0.14950000000000063,0.0,0.0,-3.499404275938911,3.213375746594198,5005.0,8,2
development,phasemap,snn,0.025,pooled (8 clips),16.40730058818766,13.382766556743565,24.55,15.16088009224968,15.176030767337123,18.15,0.9976480198404719,0.9827826813428524,0.3694999999999995,0.0,0.0,-3.4085376739500894,-0.24306216239929457,5005.0,8,2
