set,clip,setup,memory,input,offset,horizon_s,fde_px,fde_iqr_px,lock_on_s,path_median_px,path_last_px,period_ratio,auc,latency_s,fp_per_min,n_steps,unseen_fraction
development,small_01,pendulum,constant_velocity,centroid,as_is,0.025,26.685658562046605,10.674100786034963,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,centroid,removed,0.025,7.833096902597229,6.919245341931577,24.805,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,centroid,as_is,0.05,27.69451421161228,12.28419804774478,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,centroid,removed,0.05,11.823311409601601,9.031355169923943,24.815,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,centroid,as_is,0.1,34.873243184787896,14.504514551858453,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,centroid,removed,0.1,25.67189222844285,16.642160681584613,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,centroid,as_is,0.2,77.03874123711775,44.072338954085915,inf,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,constant_velocity,centroid,removed,0.2,71.0782318583017,46.60264773653806,24.815,nan,nan,nan,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,centroid,as_is,0.025,23.423559938843216,11.317005901916762,inf,64.93330012211493,64.23409708235431,1.964069145336739,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,centroid,removed,0.025,8.322669805781299,6.940655089181687,24.67,56.16713942102405,56.3806233880489,1.964069145336739,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,centroid,as_is,0.05,23.099866508080645,13.74445990009683,inf,64.93330012211493,64.23409708235431,1.964069145336739,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,centroid,removed,0.05,10.666161415831716,9.500365551221709,24.835,56.16713942102405,56.3806233880489,1.964069145336739,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,centroid,as_is,0.1,24.639883630260485,20.76033828472848,inf,64.93330012211493,64.23409708235431,1.964069145336739,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,centroid,removed,0.1,17.28581111151272,14.270484763589145,inf,56.16713942102405,56.3806233880489,1.964069145336739,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,centroid,as_is,0.2,37.31348921130315,35.55226270943646,inf,64.93330012211493,64.23409708235431,1.964069145336739,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_two_layer,centroid,removed,0.2,32.37453525409029,25.821301350280986,inf,56.16713942102405,56.3806233880489,1.964069145336739,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,centroid,as_is,0.025,33.345525837792465,13.585210925282176,inf,62.17705098230608,57.00591350488969,1.4426315956514784,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,centroid,removed,0.025,21.315562596649762,11.438745084948698,inf,52.779786259890116,51.142559730888976,1.4426315956514784,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,centroid,as_is,0.05,40.8719510195659,20.221591048311403,inf,62.17705098230608,57.00591350488969,1.4426315956514784,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,centroid,removed,0.05,31.67393128244916,19.69128021754193,inf,52.779786259890116,51.142559730888976,1.4426315956514784,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,centroid,as_is,0.1,44.32031057001666,23.111342297423036,inf,62.17705098230608,57.00591350488969,1.4426315956514784,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,centroid,removed,0.1,33.87978123504954,25.626243828432557,inf,52.779786259890116,51.142559730888976,1.4426315956514784,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,centroid,as_is,0.2,66.13249267077262,40.71841241942484,inf,62.17705098230608,57.00591350488969,1.4426315956514784,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,centroid,removed,0.2,57.91651555024178,45.53878486425219,inf,52.779786259890116,51.142559730888976,1.4426315956514784,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,snn,as_is,0.025,15.649306063125964,10.55577396035298,inf,16.572688594470705,17.077615126320417,0.9842170556890943,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,snn,removed,0.025,11.238856167818438,8.135764008856848,24.945,12.767578578057115,11.882030560847285,0.9842170556890943,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,snn,as_is,0.05,16.107554899813564,10.755122962132823,inf,16.572688594470705,17.077615126320417,0.9842170556890943,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,snn,removed,0.05,11.685677914143657,8.698798508459511,24.94,12.767578578057115,11.882030560847285,0.9842170556890943,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,snn,as_is,0.1,17.89466881534178,11.252927957925758,inf,16.572688594470705,17.077615126320417,0.9842170556890943,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,snn,removed,0.1,13.296438119941836,10.537426439227147,inf,12.767578578057115,11.882030560847285,0.9842170556890943,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,snn,as_is,0.2,20.900206576052405,13.616091048126034,inf,16.572688594470705,17.077615126320417,0.9842170556890943,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,snn,removed,0.2,16.989488904593827,13.644842540329927,24.8,12.767578578057115,11.882030560847285,0.9842170556890943,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,snn,as_is,0.025,13.629182491717986,10.09982193943159,inf,14.596257938713375,17.487777664835995,0.998963370576189,nan,nan,0.0,5006,0.0
