set,clip,setup,memory,input,offset,horizon_s,fde_px,fde_iqr_px,lock_on_s,path_median_px,path_last_px,period_ratio,auc,latency_s,fp_per_min,n_steps,unseen_fraction
held_out,small_03,pendulum,phasemap,centroid,removed,0.1,12.773841386523213,8.365070321497452,inf,12.063067445331345,14.713242477480012,1.003442385299897,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,centroid,as_is,0.2,94.40755119397188,12.30360050524206,inf,91.72668016806108,91.36455097382,1.003442385299897,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,centroid,removed,0.2,13.942127202810145,8.447954885930375,inf,12.063067445331345,14.713242477480012,1.003442385299897,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,kalman,centroid,as_is,0.025,93.64751180025954,22.808945386575687,inf,90.26008276350743,90.06203300320387,1.009501803374038,nan,nan,112.70983213429497,5004,0.0
held_out,small_03,pendulum,kalman,centroid,removed,0.025,15.902322651520342,9.597286613496426,inf,14.191924569186522,18.059669069836062,1.009501803374038,nan,nan,112.70983213429497,5004,0.0
held_out,small_03,pendulum,kalman,centroid,as_is,0.05,92.69224085257008,27.291191774331935,inf,90.26008276350743,90.06203300320387,1.009501803374038,nan,nan,112.70983213429497,5004,0.0
held_out,small_03,pendulum,kalman,centroid,removed,0.05,17.39384924292539,11.165030951116417,inf,14.191924569186522,18.059669069836062,1.009501803374038,nan,nan,112.70983213429497,5004,0.0
held_out,small_03,pendulum,kalman,centroid,as_is,0.1,91.79054352312181,30.75997796343583,inf,90.26008276350743,90.06203300320387,1.009501803374038,nan,nan,112.70983213429497,5004,0.0
held_out,small_03,pendulum,kalman,centroid,removed,0.1,19.062117125785043,13.580645894065075,inf,14.191924569186522,18.059669069836062,1.009501803374038,nan,nan,112.70983213429497,5004,0.0
held_out,small_03,pendulum,kalman,centroid,as_is,0.2,92.91474263789556,19.10814608999,inf,90.26008276350743,90.06203300320387,1.009501803374038,nan,nan,112.70983213429497,5004,0.0
held_out,small_03,pendulum,kalman,centroid,removed,0.2,16.080629523414654,9.489321854663343,inf,14.191924569186522,18.059669069836062,1.009501803374038,nan,nan,112.70983213429497,5004,0.0
held_out,small_03,pendulum,harmonic,centroid,as_is,0.025,93.70113756277267,8.826919478548405,inf,90.37316265041892,89.86406002246241,1.009501803374038,nan,nan,0.0,5004,0.0
